system:time_start,p25,Median,IQR,Left date,Right date
"Sep 8, 2018",,,,,
"Sep 26, 2018",0.116,0.121,0.124,,
"Oct 5, 2018",0.122,0.123,0.129,,
"Oct 14, 2018",0.131,0.131,0.132,,
"Oct 23, 2018",0.117,0.121,0.123,,
"Nov 1, 2018",,,,,
"Nov 10, 2018",,,,,
"Nov 19, 2018",0.137,0.146,0.155,,
"Nov 28, 2018",0.14,0.141,0.141,,
"Dec 7, 2018",0.126,0.13,0.134,,
"Dec 16, 2018",0.133,0.133,0.133,,
"Dec 25, 2018",0.126,0.141,0.143,,
"Jan 1, 2019",,,,0.1,
"Jan 3, 2019",0.147,0.147,0.147,,
"Jan 12, 2019",0.134,0.135,0.171,,
"Jan 21, 2019",0.156,0.168,0.179,,
"Jan 30, 2019",0.155,0.156,0.157,,
"Feb 8, 2019",0.153,0.16,0.171,,
"Feb 17, 2019",0.129,0.141,0.151,,
"Feb 26, 2019",0.134,0.141,0.147,,
"Mar 7, 2019",0.136,0.15,0.165,,
"Mar 16, 2019",0.151,0.154,0.156,,
"Mar 25, 2019",0.139,0.168,0.18,,
"Apr 3, 2019",0.152,0.154,0.156,,
"Apr 12, 2019",,,,,
"Apr 21, 2019",0.163,0.164,0.165,,
"Apr 30, 2019",0.161,0.168,0.184,,
"May 9, 2019",0.165,0.176,0.183,,
"May 18, 2019",0.158,0.16,0.162,,
"May 27, 2019",0.147,0.153,0.154,,
"Jun 5, 2019",0.148,0.149,0.15,,
"Jun 14, 2019",0.142,0.145,0.148,,
"Jun 23, 2019",0.143,0.144,0.147,,
"Jul 2, 2019",0.139,0.141,0.144,,
"Jul 11, 2019",0.151,0.152,0.155,,
"Jul 20, 2019",0.137,0.143,0.152,,
"Jul 29, 2019",0.139,0.139,0.141,,
"Aug 7, 2019",0.138,0.144,0.145,,
"Aug 16, 2019",0.13,0.135,0.141,,
"Aug 25, 2019",0.133,0.135,0.137,,
"Sep 3, 2019",0.126,0.129,0.13,,
"Sep 12, 2019",0.124,0.132,0.14,,
"Sep 21, 2019",0.131,0.131,0.131,,
"Sep 30, 2019",0.123,0.124,0.128,,
"Oct 9, 2019",,,,,
"Oct 18, 2019",0.128,0.129,0.129,,
"Oct 27, 2019",0.116,0.123,0.129,,
"Nov 5, 2019",0.148,0.148,0.148,,
"Nov 14, 2019",0.148,0.148,0.148,,
"Nov 23, 2019",0.117,0.117,0.117,,
"Dec 2, 2019",0.118,0.123,0.128,,
"Dec 11, 2019",0.132,0.132,0.132,,
"Dec 20, 2019",0.152,0.152,0.152,,
"Dec 29, 2019",0.137,0.152,0.164,,
"Jan 7, 2020",0.146,0.151,0.155,,
"Jan 16, 2020",0.149,0.149,0.149,,
"Jan 25, 2020",0.148,0.163,0.163,,
"Feb 3, 2020",0.154,0.166,0.174,,
"Feb 12, 2020",0.133,0.145,0.148,,
"Feb 21, 2020",0.143,0.146,0.147,,
"Mar 1, 2020",0.15,0.162,0.175,,
"Mar 10, 2020",0.141,0.16,0.183,,
"Mar 19, 2020",0.154,0.159,0.159,,
"Mar 28, 2020",0.182,0.182,0.182,,
"Apr 6, 2020",0.144,0.155,0.163,,
"Apr 15, 2020",0.151,0.154,0.155,,
"Apr 24, 2020",0.141,0.149,0.152,,
"May 3, 2020",0.148,0.153,0.156,,
"May 12, 2020",0.146,0.148,0.151,,
"May 21, 2020",0.144,0.147,0.152,,
"May 30, 2020",0.152,0.154,0.155,,
"Jun 8, 2020",0.152,0.152,0.153,,
"Jun 17, 2020",0.15,0.151,0.152,,
"Jun 26, 2020",0.136,0.139,0.144,,
"Jul 5, 2020",0.135,0.138,0.142,,
"Jul 14, 2020",0.138,0.138,0.138,,
"Jul 23, 2020",0.132,0.137,0.142,,
"Aug 1, 2020",0.133,0.135,0.14,,
"Aug 10, 2020",0.132,0.133,0.134,,
"Aug 19, 2020",0.13,0.131,0.136,,
"Aug 28, 2020",0.126,0.128,0.147,,
"Sep 6, 2020",0.123,0.128,0.13,,
"Sep 15, 2020",0.121,0.123,0.127,,
"Sep 24, 2020",0.142,0.147,0.151,,
"Oct 3, 2020",0.126,0.137,0.148,,
"Oct 12, 2020",0.127,0.14,0.141,,
"Oct 21, 2020",,,,,
"Oct 30, 2020",0.116,0.134,0.153,,
"Nov 1, 2020",,,,,0.1
"Nov 8, 2020",0.125,0.127,0.129,,
"Nov 17, 2020",0.111,0.121,0.132,,
"Nov 26, 2020",0.124,0.131,0.137,,
"Dec 5, 2020",,,,,
"Dec 14, 2020",0.122,0.122,0.122,,
"Dec 23, 2020",0.14,0.14,0.14,,
"Jan 1, 2021",,,,,
"Jan 10, 2021",0.123,0.137,0.138,,
"Jan 19, 2021",,,,,
"Jan 28, 2021",0.152,0.161,0.171,,
"Feb 6, 2021",0.156,0.156,0.156,,
"Feb 15, 2021",0.146,0.153,0.157,,
"Feb 24, 2021",0.127,0.129,0.134,,
"Mar 5, 2021",0.142,0.164,0.172,,
"Mar 14, 2021",0.189,0.189,0.192,,
"Mar 23, 2021",0.166,0.169,0.18,,
"Apr 1, 2021",0.15,0.155,0.165,,
"Apr 10, 2021",0.171,0.181,0.191,,
"Apr 19, 2021",0.186,0.186,0.186,,
"Apr 28, 2021",0.141,0.141,0.141,,
"May 7, 2021",0.155,0.162,0.17,,
"May 16, 2021",0.157,0.161,0.164,,
"May 25, 2021",0.154,0.156,0.161,,
"Jun 3, 2021",0.148,0.148,0.149,,
"Jun 12, 2021",0.145,0.145,0.147,,
"Jun 21, 2021",0.145,0.146,0.15,,
"Jun 30, 2021",0.142,0.147,0.151,,
"Jul 9, 2021",0.14,0.144,0.145,,
"Jul 18, 2021",0.139,0.14,0.143,,
"Jul 27, 2021",0.141,0.141,0.141,,
"Aug 5, 2021",0.143,0.148,0.154,,
